,Team,Date,X_Val,Actual_Sum,Model_Sum,Diff
1,Preds,2019-01-01 20:00:00,1,10.0,17.784304048525446,-7.7843040485254456
2,Preds,2019-01-07 15:00:00,1.01,41.0,25.728945404487437,15.271054595512563
3,Preds,2019-01-16 15:00:00,1.02,32.0,27.0893882388603,4.910611761139702
4,Preds,2019-01-18 15:00:00,1.03,30.0,27.992517866285493,2.0074821337145075
5,Preds,2019-01-27 15:00:00,1.04,22.0,24.03443582830266,-2.0344358283026587
6,Preds,2019-02-01 15:00:00,1.05,31.0,27.851323182699502,3.1486768173004975
7,Preds,2019-02-13 15:00:00,1.06,37.0,26.948193555274305,10.051806444725695
8,Preds,2019-02-16 13:00:00,1.07,24.0,31.27148877913713,-7.27148877913713
9,Preds,2019-02-18 15:00:00,1.08,31.0,25.587750720901447,5.412249279098553
10,Preds,2019-02-22 15:00:00,1.09,31.0,27.851323182699502,3.1486768173004975
11,Preds,2019-02-25 15:00:00,1.1,31.0,25.587750720901447,5.412249279098553
12,Preds,2019-02-27 15:00:00,1.11,37.0,26.948193555274305,10.051806444725695
13,Preds,2019-03-02 15:00:00,1.12,21.0,27.547486862067558,-6.547486862067558
14,Preds,2019-03-05 15:00:00,1.1300000000000001,25.0,26.929040491609573,-1.9290404916095731
15,Preds,2019-03-19 15:00:00,1.1400000000000001,25.0,26.929040491609573,-1.9290404916095731
16,Preds,2019-03-21 15:00:00,1.1500000000000001,28.0,27.68251883051549,0.317481169484509
17,Preds,2019-03-24 15:00:00,1.1600000000000001,31.0,25.19905107605937,5.800948923940631
18,Preds,2019-03-26 15:00:00,1.1700000000000002,25.0,26.929040491609573,-1.9290404916095731
19,Preds,2019-04-01 15:00:00,1.1800000000000002,47.0,27.045423155707738,19.954576844292262
20,Preds,2019-04-04 15:00:00,1.1900000000000002,38.0,27.83438133397908,10.165618666020919
21,Preds,2019-10-03 15:00:00,1.2000000000000002,41.0,30.21581951640472,10.784180483595279
22,Preds,2019-10-05 15:00:00,1.2100000000000002,35.0,30.080787547956785,4.919212452043215
23,Preds,2019-10-08 15:00:00,1.2200000000000002,28.0,29.4623411774988,-1.4623411774988
24,Preds,2019-10-10 15:00:00,1.2300000000000002,41.0,30.21581951640472,10.784180483595279
25,Preds,2019-10-19 15:00:00,1.2400000000000002,35.0,30.080787547956785,4.919212452043215
26,Preds,2019-10-22 15:00:00,1.2500000000000002,28.0,29.4623411774988,-1.4623411774988
27,Preds,2019-10-24 15:00:00,1.2600000000000002,41.0,30.21581951640472,10.784180483595279
28,Preds,2019-10-29 15:00:00,1.2700000000000002,28.0,29.4623411774988,-1.4623411774988
29,Preds,2019-10-31 15:00:00,1.2800000000000002,41.0,30.21581951640472,10.784180483595279
30,Preds,2019-11-02 09:00:00,1.2900000000000003,22.0,24.5098869121855,-2.5098869121855003
31,Preds,2019-11-16 15:00:00,1.3000000000000003,56.0,27.34056725637962,28.65943274362038
32,Preds,2019-11-19 15:00:00,1.3100000000000003,43.0,26.72212088592164,16.27787911407836
33,Preds,2019-11-21 15:00:00,1.3200000000000003,43.0,27.47559922482756,15.524400775172442
34,Preds,2019-11-25 15:00:00,1.3300000000000003,24.0,26.686641046556215,-2.6866410465562147
35,Preds,2019-11-27 15:00:00,1.3400000000000003,39.0,28.047083880929076,10.952916119070924
36,Preds,2019-12-03 15:00:00,1.3500000000000003,41.0,25.402214357580498,15.597785642419502
37,Preds,2019-12-07 15:00:00,1.3600000000000003,23.0,26.02066072803848,-3.0206607280384787
38,Preds,2019-12-10 15:00:00,1.3700000000000003,41.0,25.402214357580498,15.597785642419502
39,Preds,2019-12-14 13:30:00,1.3800000000000003,25.0,31.050472576450755,-6.050472576450755
40,Preds,2019-12-23 15:00:00,1.3900000000000003,42.0,25.366734518215075,16.633265481784925
41,Preds,2019-12-27 15:00:00,1.4000000000000004,38.0,27.630306980013128,10.369693019986872
42,Preds,2020-01-14 14:00:00,1.4100000000000004,36.0,21.129039081595035,14.870960918404965
43,Preds,2020-01-16 14:00:00,1.4200000000000004,53.0,21.88251742050095,31.11748257949905
44,Preds,2020-01-18 15:00:00,1.4300000000000004,30.0,18.452684631724157,11.547315368275843
45,Preds,2020-01-19 15:00:00,1.4400000000000004,22.0,16.104248845715972,5.895751154284028
46,Preds,2020-01-26 15:00:00,1.4500000000000004,22.0,16.104248845715972,5.895751154284028
47,Preds,2020-01-27 14:30:00,1.4600000000000004,25.0,21.09355924222961,3.9064407577703903
48,Preds,2020-02-08 15:00:00,1.4700000000000004,46.0,18.31148994813816,27.68851005186184
49,Preds,2020-02-09 15:30:00,1.4800000000000004,20.0,15.963054162129975,4.036945837870025
50,Preds,2020-02-11 15:00:00,1.4900000000000004,37.0,17.693043577680182,19.306956422319818
51,Preds,2020-02-13 15:00:00,1.5000000000000004,27.0,18.446521916586097,8.553478083413903
52,Preds,2020-02-27 10:00:00,1.5100000000000005,25.0,17.516912432809555,7.483087567190445
53,Preds,2020-02-28 10:00:00,1.5200000000000005,26.0,18.991526716336274,7.008473283663726
54,Preds,2020-03-04 15:00:00,1.5300000000000005,41.0,20.32381650403032,20.67618349596968
55,Preds,2020-03-06 09:00:00,1.5400000000000005,12.0,18.396265787261395,-6.396265787261395
56,Preds,2020-03-23 15:00:00,1.5500000000000005,21.0,18.963373669657457,2.0366263303425427
57,Preds,2020-03-25 15:00:00,1.5600000000000005,41.0,20.32381650403032,20.67618349596968
58,Preds,2020-03-30 15:00:00,1.5700000000000005,21.0,18.963373669657457,2.0366263303425427
